
E2-1A-3<E2-1-01>,2016/9/10 18:50,0,589,74,552,3,E2
E2-1A-3<E2-1-01>,2016/9/10 19:00,2,1210,73,538,3,E2
E2-1A-3<E2-1-01>,2016/9/10 19:10,3,1175,70,524,0,E2
E2-1A-3<E2-1-01>,2016/9/10 19:20,10,1164,43,512,2,E2
E2-1A-3<E2-1-01>,2016/9/10 19:30,10,1254,79,452,3,E2
E2-1A-3<E2-1-01>,2016/9/10 19:40,5,1390,97,439,3,E2
E2-1A-3<E2-1-01>,2016/9/10 19:50,14,1184,125,471,1,E2
E2-1A-3<E2-1-01>,2016/9/10 20:00,0,1210,164,528,0,E2
E2-1A-3<E2-1-01>,2016/9/10 20:10,2,1287,118,553,4,E2
E2-1A-3<E2-1-01>,2016/9/10 20:20,0,1330,127,569,0,E2
E2-1A-3<E2-1-01>,2016/9/10 20:30,0,1250,109,512,0,E2
E2-1A-3<E2-1-01>,2016/9/10 20:40,0,1078,121,478,0,E2
E2-1A-3<E2-1-01>,2016/9/10 20:50,0,1157,119,428,0,E2
E2-1A-3<E2-1-01>,2016/9/10 21:00,0,1143,107,348,2,E2
E2-1A-3<E2-1-01>,2016/9/10 21:10,0,1008,156,349,5,E2
E2-1A-3<E2-1-01>,2016/9/10 21:20,5,921,168,361,3,E2
E2-1A-3<E2-1-01>,2016/9/10 21:30,11,914,167,356,1,E2
E2-1A-3<E2-1-01>,2016/9/10 21:40,0,936,138,258,4,E2
E2-1A-3<E2-1-01>,2016/9/10 21:50,0,945,172,154,7,E2
E2-1A-3<E2-1-01>,2016/9/10 22:00,0,1165,172,231,0,E2
E2-1A-3<E2-1-01>,2016/9/10 22:10,4,1071,150,230,0,E2
E2-1A-3<E2-1-01>,2016/9/10 22:20,3,956,185,189,1,E2
E2-1A-3<E2-1-01>,2016/9/10 22:30,1,828,204,107,0,E2
E2-1A-3<E2-1-01>,2016/9/10 22:40,3,816,161,89,0,E2
E2-1A-3<E2-1-01>,2016/9/10 22:50,5,942,152,171,0,E2
E2-1A-3<E2-1-01>,2016/9/10 23:00,0,1073,149,103,4,E2
E2-1A-3<E2-1-01>,2016/9/10 23:10,0,1267,166,102,2,E2
E2-1A-3<E2-1-01>,2016/9/10 23:20,0,1486,141,30,1,E2
E2-1A-3<E2-1-01>,2016/9/10 23:30,1,1657,117,99,1,E2
E2-1A-3<E2-1-01>,2016/9/10 23:40,4,1650,72,30,1,E2
E2-1A-3<E2-1-01>,2016/9/10 23:50,0,1478,75,11,5,E2
E2-1A-3<E2-1-01>,2016/9/11 0:00,0,1331,871,664,18,E2
E2-1A-3<E2-1-01>,2016/9/11 0:10,0,809,900,655,16,E2
E2-1A-3<E2-1-01>,2016/9/11 0:20,8,469,868,656,20,E2
E2-1A-3<E2-1-01>,2016/9/11 0:30,6,368,895,695,16,E2
E2-1A-3<E2-1-01>,2016/9/11 0:40,1,290,840,665,14,E2
E2-1A-3<E2-1-01>,2016/9/11 0:50,0,257,788,565,13,E2
E2-1A-3<E2-1-01>,2016/9/11 1:00,0,206,95,64,0,E2
E2-1A-3<E2-1-01>,2016/9/11 1:10,0,193,157,50,1,E2
E2-1A-3<E2-1-01>,2016/9/11 1:20,0,235,190,25,3,E2
E2-1A-3<E2-1-01>,2016/9/11 1:30,0,187,132,81,0,E2
E2-1A-3<E2-1-01>,2016/9/11 1:40,0,215,120,38,2,E2
E2-1A-3<E2-1-01>,2016/9/11 1:50,1,142,135,15,0,E2
E2-1A-3<E2-1-01>,2016/9/11 2:00,1,143,94,9,0,E2
E2-1A-3<E2-1-01>,2016/9/11 2:10,2,170,89,3,0,E2
E2-1A-3<E2-1-01>,2016/9/11 2:20,0,182,111,3,0,E2
E2-1A-3<E2-1-01>,2016/9/11 2:30,0,167,101,85,2,E2
E2-1A-3<E2-1-01>,2016/9/11 2:40,0,183,83,59,1,E2
E2-1A-3<E2-1-01>,2016/9/11 2:50,3,216,70,64,2,E2
E2-1A-3<E2-1-01>,2016/9/11 3:00,1,140,65,15,1,E2
E2-1A-3<E2-1-01>,2016/9/11 3:10,0,142,39,0,1,E2
E2-1A-3<E2-1-01>,2016/9/11 3:20,0,145,38,0,0,E2
E2-1A-3<E2-1-01>,2016/9/11 3:30,0,157,32,0,0,E2
E2-1A-3<E2-1-01>,2016/9/11 3:40,0,150,53,0,1,E2
E2-1A-3<E2-1-01>,2016/9/11 3:50,0,144,38,0,0,E2
E2-1A-3<E2-1-01>,2016/9/11 4:00,0,164,152,0,2,E2
E2-1A-3<E2-1-01>,2016/9/11 4:10,0,232,198,0,0,E2
E2-1A-3<E2-1-01>,2016/9/11 4:20,0,214,158,0,0,E2
E2-1A-3<E2-1-01>,2016/9/11 4:30,0,223,163,13,0,E2
E2-1A-3<E2-1-01>,2016/9/11 4:40,0,234,226,20,0,E2
E2-1A-3<E2-1-01>,2016/9/11 4:50,0,249,337,121,0,E2
